sensor_id,timestamp,temperature_C,humidity_percent,pressure_mbar
sensor_1,2025-07-01 01:43:00+00:00,22.37,65.21,1013.16
sensor_1,2025-07-01 01:44:00+00:00,23.97,68.95,1009.92
sensor_1,2025-07-01 01:45:00+00:00,17.92,57.11,1011.42
sensor_1,2025-07-01 01:46:00+00:00,23.2,67.24,1007.99
sensor_1,2025-07-01 01:47:00+00:00,24.46,61.36,1006.62
sensor_1,2025-07-01 01:48:00+00:00,20.09,59.69,1004.28
sensor_1,2025-07-01 01:49:00+00:00,21.4,54.09,1013.57
sensor_1,2025-07-01 01:50:00+00:00,19.35,45.99,1012.05
sensor_1,2025-07-01 01:51:00+00:00,25.93,62.5,1023.14
sensor_1,2025-07-01 01:52:00+00:00,24.11,56.19,1008.15
sensor_1,2025-07-01 01:53:00+00:00,20.59,62.44,1016.02
sensor_1,2025-07-01 01:54:00+00:00,22.46,43.23,1017.86
sensor_1,2025-07-01 01:55:00+00:00,21.89,41.01,1008.02
sensor_1,2025-07-01 01:56:00+00:00,20.97,42.57,1016.39
sensor_1,2025-07-01 01:57:00+00:00,23.62,62.02,1017.6
sensor_1,2025-07-01 01:58:00+00:00,23.49,67.6,1015.75
sensor_1,2025-07-01 01:59:00+00:00,19.63,57.01,1014.52
sensor_1,2025-07-01 02:00:00+00:00,17.19,47.66,1011.95
sensor_2,2025-07-01 01:00:00+00:00,23.44,58.8,1018.55
sensor_2,2025-07-01 01:01:00+00:00,17.81,65.91,1006.71
sensor_2,2025-07-01 01:02:00+00:00,23.85,50.25,1011.71
sensor_2,2025-07-01 01:03:00+00:00,22.58,62.82,1017.4
sensor_2,2025-07-01 01:04:00+00:00,21.02,42.26,1007.44
sensor_2,2025-07-01 01:05:00+00:00,24.04,64.59,1015.74
sensor_2,2025-07-01 01:06:00+00:00,23.88,49.91,1010.55
sensor_2,2025-07-01 01:07:00+00:00,25.03,52.42,1004.39
sensor_2,2025-07-01 01:08:00+00:00,25.13,65.71,1015.61
sensor_2,2025-07-01 01:09:00+00:00,22.89,59.76,1013.24
sensor_2,2025-07-01 01:10:00+00:00,18.17,45.86,1015.56
sensor_2,2025-07-01 01:11:00+00:00,20.72,67.76,1020.17
sensor_2,2025-07-01 01:12:00+00:00,19.51,62.52,1019.17
sensor_2,2025-07-01 01:13:00+00:00,22.41,46.48,1017.16
sensor_2,2025-07-01 01:14:00+00:00,22.81,68.74,999.43
sensor_2,2025-07-01 01:15:00+00:00,21.72,64.77,1017.37
sensor_2,2025-07-01 01:16:00+00:00,22.88,52.69,1012.15
sensor_2,2025-07-01 01:17:00+00:00,21.07,48.49,1013.43
sensor_2,2025-07-01 01:18:00+00:00,20.54,42.7,1014.35
sensor_2,2025-07-01 01:19:00+00:00,21.1,53.96,1011.79
sensor_2,2025-07-01 01:20:00+00:00,23.08,67.82,1019.29
sensor_2,2025-07-01 01:21:00+00:00,18.43,58.85,1014.79
sensor_2,2025-07-01 01:22:00+00:00,21.86,53.74,1009.81
sensor_2,2025-07-01 01:23:00+00:00,20.5,59.94,1014.54
sensor_2,2025-07-01 01:24:00+00:00,21.08,48.29,1020.43
sensor_2,2025-07-01 01:25:00+00:00,22,68.61,1017.6
sensor_2,2025-07-01 01:26:00+00:00,23.06,40.09,1011.85
sensor_2,2025-07-01 01:27:00+00:00,22.36,62.52,1011.77
sensor_2,2025-07-01 01:28:00+00:00,23.6,62.06,1020.23
sensor_2,2025-07-01 01:29:00+00:00,23.73,54.28,1013.24
sensor_2,2025-07-01 01:30:00+00:00,20.25,44.6,1010.81
sensor_2,2025-07-01 01:31:00+00:00,23.97,41.8,1008.92
sensor_2,2025-07-01 01:32:00+00:00,19.78,60.8,1022.27
sensor_2,2025-07-01 01:33:00+00:00,21.14,53.81,1015.1
sensor_2,2025-07-01 01:34:00+00:00,22.54,66.63,1009.22
sensor_2,2025-07-01 01:35:00+00:00,21.87,65.8,1011.86
sensor_2,2025-07-01 01:36:00+00:00,22.36,59.77,1010.36
sensor_2,2025-07-01 01:37:00+00:00,22.79,40.76,1012.77
sensor_2,2025-07-01 01:38:00+00:00,25.59,48.83,1011.74
sensor_2,2025-07-01 01:39:00+00:00,22.24,61.21,1012.09
sensor_2,2025-07-01 01:40:00+00:00,20.72,69.23,1000.87
sensor_2,2025-07-01 01:41:00+00:00,23.55,67.58,1012.79
sensor_2,2025-07-01 01:42:00+00:00,22.36,68.82,1022.57
sensor_2,2025-07-01 01:43:00+00:00,23.38,50.15,1013.6
sensor_2,2025-07-01 01:44:00+00:00,21.13,42.2,1004.51
sensor_2,2025-07-01 01:45:00+00:00,21.55,67.2,1011.81
sensor_2,2025-07-01 01:46:00+00:00,24.57,51.17,1011.66
sensor_2,2025-07-01 01:47:00+00:00,22.49,69.27,1011.08
sensor_2,2025-07-01 01:48:00+00:00,24.24,55.36,1007.19
sensor_2,2025-07-01 01:49:00+00:00,26.69,58.19,1004.54
sensor_2,2025-07-01 01:50:00+00:00,17.97,58.18,1011.9
sensor_2,2025-07-01 01:51:00+00:00,17.98,55.45,1008.52
sensor_2,2025-07-01 01:52:00+00:00,21.61,69.43,1009.69
sensor_2,2025-07-01 01:53:00+00:00,24.33,54.56,1018.89
sensor_2,2025-07-01 01:54:00+00:00,24.27,53.82,1015.07
sensor_2,2025-07-01 01:55:00+00:00,22.58,46.45,1015.15
sensor_2,2025-07-01 01:56:00+00:00,22.73,65.84,1006.01
sensor_2,2025-07-01 01:57:00+00:00,23.37,49.75,1010.65
sensor_2,2025-07-01 01:58:00+00:00,23.34,67.24,1007.91
sensor_2,2025-07-01 01:59:00+00:00,23.4,47.63,1013.31
sensor_2,2025-07-01 02:00:00+00:00,21.23,46.08,1009.09
sensor_3,2025-07-01 01:00:00+00:00,22.39,49.68,1024.97
sensor_3,2025-07-01 01:01:00+00:00,20.08,48.79,1006.58
sensor_3,2025-07-01 01:02:00+00:00,20.75,45.01,1008.62
sensor_3,2025-07-01 01:03:00+00:00,19.26,66.72,1021.46
sensor_3,2025-07-01 01:04:00+00:00,22.6,53.83,1010.15
sensor_3,2025-07-01 01:05:00+00:00,24.02,69.04,1001.77
sensor_3,2025-07-01 01:06:00+00:00,19.11,43.04,1020.03
sensor_3,2025-07-01 01:07:00+00:00,22.25,57.3,1023.19
sensor_3,2025-07-01 01:08:00+00:00,21.54,61.36,1012.73
sensor_3,2025-07-01 01:09:00+00:00,20.85,58.77,1012.46
sensor_3,2025-07-01 01:10:00+00:00,22.95,42.91,1002.46
sensor_3,2025-07-01 01:11:00+00:00,22.08,67.17,1021.43
sensor_3,2025-07-01 01:12:00+00:00,22.64,44.42,1011.3
sensor_3,2025-07-01 01:13:00+00:00,22.19,66.88,1012.49
sensor_3,2025-07-01 01:14:00+00:00,24,66.81,1010.88
sensor_3,2025-07-01 01:15:00+00:00,22.59,64.99,1024.65
sensor_3,2025-07-01 01:16:00+00:00,25.65,59.41,1007.5
sensor_3,2025-07-01 01:17:00+00:00,21.85,45.77,1015.69
sensor_3,2025-07-01 01:18:00+00:00,21.1,69.1,1014.06
sensor_3,2025-07-01 01:19:00+00:00,18.85,66.58,1013.79
sensor_3,2025-07-01 01:20:00+00:00,22.06,56.11,1015.17
sensor_3,2025-07-01 01:21:00+00:00,21.46,43.29,1023.21
sensor_3,2025-07-01 01:22:00+00:00,24.2,63.65,1019.46
sensor_3,2025-07-01 01:23:00+00:00,20.58,66.43,1024.03
sensor_3,2025-07-01 01:24:00+00:00,22.25,53.22,1018.03
sensor_3,2025-07-01 01:25:00+00:00,19.97,57.46,1018.28
sensor_3,2025-07-01 01:26:00+00:00,20.45,44.48,1015.06
sensor_3,2025-07-01 01:27:00+00:00,23.13,47.62,1014.52
sensor_3,2025-07-01 01:28:00+00:00,20.66,62.93,1015.47
sensor_3,2025-07-01 01:29:00+00:00,22.03,55.66,1014.76
sensor_3,2025-07-01 01:30:00+00:00,22.33,68.39,1016.76
sensor_3,2025-07-01 01:31:00+00:00,23.75,67.88,1014.64
sensor_3,2025-07-01 01:32:00+00:00,22.75,44.46,1007.52
sensor_3,2025-07-01 01:33:00+00:00,19.88,48.8,1012.12
sensor_3,2025-07-01 01:34:00+00:00,18.38,65.63,1018.29
sensor_3,2025-07-01 01:35:00+00:00,16.82,41.12,1014.52
sensor_3,2025-07-01 01:36:00+00:00,22.21,48.18,1010
sensor_3,2025-07-01 01:37:00+00:00,19.43,68.66,1008.28
sensor_3,2025-07-01 01:38:00+00:00,23.02,56.39,1011.12
sensor_3,2025-07-01 01:39:00+00:00,22.21,46.08,1014.82
sensor_3,2025-07-01 01:40:00+00:00,28.31,59.41,1016.58
sensor_3,2025-07-01 01:41:00+00:00,21.67,49.3,1014.6
sensor_3,2025-07-01 01:42:00+00:00,24.18,69.98,1021.28
sensor_3,2025-07-01 01:43:00+00:00,23.06,65.01,1010.25
sensor_3,2025-07-01 01:44:00+00:00,24.68,58.52,1009.14
sensor_3,2025-07-01 01:45:00+00:00,20.07,64.49,1005.65
sensor_3,2025-07-01 01:46:00+00:00,25,45.53,1015.02
sensor_3,2025-07-01 01:47:00+00:00,22.69,49,1018.41
sensor_3,2025-07-01 01:48:00+00:00,23.57,52.34,1004
sensor_3,2025-07-01 01:49:00+00:00,23.97,56.39,1006.44
sensor_3,2025-07-01 01:50:00+00:00,24.75,56.54,1018.01
sensor_3,2025-07-01 01:51:00+00:00,25.58,61.36,1006.57
sensor_3,2025-07-01 01:52:00+00:00,22.53,41.68,1015.2
sensor_3,2025-07-01 01:53:00+00:00,22.12,58.82,1012.65
sensor_3,2025-07-01 01:54:00+00:00,22.15,42.2,1014.13
sensor_3,2025-07-01 01:55:00+00:00,22.94,57.34,1009.52
sensor_3,2025-07-01 01:56:00+00:00,20.04,47.68,1022.25
sensor_3,2025-07-01 01:57:00+00:00,21.45,59.5,1011.5
sensor_3,2025-07-01 01:58:00+00:00,24.8,53.61,1017.86
sensor_3,2025-07-01 01:59:00+00:00,21.66,55.66,1017.38
sensor_3,2025-07-01 02:00:00+00:00,19.18,54.75,1004.63
sensor_4,2025-07-01 01:00:00+00:00,21.98,64.85,1010.73
sensor_4,2025-07-01 01:01:00+00:00,20.4,44.09,1009.58
sensor_4,2025-07-01 01:02:00+00:00,22.53,44.21,1006.03
sensor_4,2025-07-01 01:03:00+00:00,19.16,49.14,1003.38
sensor_4,2025-07-01 01:04:00+00:00,21.7,67.69,1014.34
sensor_4,2025-07-01 01:05:00+00:00,23.34,45.62,1003.53
sensor_4,2025-07-01 01:06:00+00:00,22.98,54.04,1016.37
sensor_4,2025-07-01 01:07:00+00:00,27.11,65.45,1010.45
sensor_4,2025-07-01 01:08:00+00:00,19.65,60.94,1023.1
sensor_4,2025-07-01 01:09:00+00:00,25.19,57.41,1015.19
sensor_4,2025-07-01 01:10:00+00:00,19.85,58.18,1008.1
sensor_4,2025-07-01 01:11:00+00:00,21.8,54.12,1013.93
sensor_4,2025-07-01 01:12:00+00:00,23.18,41.88,1019.51
sensor_4,2025-07-01 01:13:00+00:00,22.22,48.02,1005.2
sensor_4,2025-07-01 01:14:00+00:00,25.22,59.61,1003.41
sensor_4,2025-07-01 01:15:00+00:00,22.51,53.55,1006.46
sensor_4,2025-07-01 01:16:00+00:00,22.5,43.78,1012.82
sensor_4,2025-07-01 01:17:00+00:00,24.71,40.7,1016.23
sensor_4,2025-07-01 01:18:00+00:00,18.68,67.39,1015.59
sensor_4,2025-07-01 01:19:00+00:00,21.02,47.63,1020.76
sensor_4,2025-07-01 01:20:00+00:00,18.88,53.23,1013.12
sensor_4,2025-07-01 01:21:00+00:00,20.73,49.32,1010.76
sensor_4,2025-07-01 01:22:00+00:00,22.95,54.21,1011.39
sensor_4,2025-07-01 01:23:00+00:00,21.89,47.49,1017.06
sensor_4,2025-07-01 01:24:00+00:00,23.49,40.71,1026.16
sensor_4,2025-07-01 01:25:00+00:00,20.4,48.27,1017.85
sensor_4,2025-07-01 01:26:00+00:00,20.96,40.84,1015.03
sensor_4,2025-07-01 01:27:00+00:00,18.24,42.7,1010.98
sensor_4,2025-07-01 01:28:00+00:00,18.2,53.43,1024.74
sensor_4,2025-07-01 01:29:00+00:00,24.24,55.98,1009.67
sensor_4,2025-07-01 01:30:00+00:00,24.39,47.11,1004.9
sensor_4,2025-07-01 01:31:00+00:00,22.3,51.84,1007.08
sensor_4,2025-07-01 01:32:00+00:00,23.3,56.25,1004.91
sensor_4,2025-07-01 01:33:00+00:00,23.35,43.79,1008.19
sensor_4,2025-07-01 01:34:00+00:00,23.17,41.86,1013.19
sensor_4,2025-07-01 01:35:00+00:00,21.55,47.14,1001.46
sensor_4,2025-07-01 01:36:00+00:00,21.59,65.28,1008.84
sensor_4,2025-07-01 01:37:00+00:00,21.77,46.26,1014.96
sensor_4,2025-07-01 01:38:00+00:00,20.26,64.16,1005.78
sensor_4,2025-07-01 01:39:00+00:00,22.93,62.7,1018.83
sensor_4,2025-07-01 01:40:00+00:00,26.05,41.81,1020.07
sensor_4,2025-07-01 01:41:00+00:00,17.93,64.51,1005.12
sensor_4,2025-07-01 01:42:00+00:00,19.82,52.63,1014.18
sensor_4,2025-07-01 01:43:00+00:00,15.82,53.51,1015.95
sensor_4,2025-07-01 01:44:00+00:00,23.75,57.01,1014.84
sensor_4,2025-07-01 01:45:00+00:00,23.56,65.74,1015.48
sensor_4,2025-07-01 01:46:00+00:00,21.28,63.9,1013.87
sensor_4,2025-07-01 01:47:00+00:00,25.73,45.85,1013.04
sensor_4,2025-07-01 01:48:00+00:00,23.17,66.75,1016.76
sensor_4,2025-07-01 01:49:00+00:00,23.74,43.06,1013.62
sensor_4,2025-07-01 01:50:00+00:00,21.02,67.43,1012.48
sensor_4,2025-07-01 01:51:00+00:00,21.39,52.49,1012.64
sensor_4,2025-07-01 01:52:00+00:00,21.19,58.89,1012.47
sensor_4,2025-07-01 01:53:00+00:00,19.85,60.38,1017.25
sensor_4,2025-07-01 01:54:00+00:00,22.66,47.46,1008.06
sensor_4,2025-07-01 01:55:00+00:00,24.39,47.91,1014.98
sensor_4,2025-07-01 01:56:00+00:00,18.5,49.72,1011.46
sensor_4,2025-07-01 01:57:00+00:00,20.09,42.94,1010.03
sensor_4,2025-07-01 01:58:00+00:00,22.99,68.54,1012.67
sensor_4,2025-07-01 01:59:00+00:00,23.37,43.15,1010.59
sensor_4,2025-07-01 02:00:00+00:00,22.75,55.37,1021
sensor_5,2025-07-01 01:00:00+00:00,19.46,48.58,1016.71
sensor_5,2025-07-01 01:01:00+00:00,25.26,59.4,1016.52
sensor_5,2025-07-01 01:02:00+00:00,21.55,60.31,1015.37
sensor_5,2025-07-01 01:03:00+00:00,15.81,41.87,1016.12
sensor_5,2025-07-01 01:04:00+00:00,21.05,48.53,1014.43
sensor_5,2025-07-01 01:05:00+00:00,23.54,47.54,1013.13
sensor_5,2025-07-01 01:06:00+00:00,24.39,56.08,1005.06
sensor_5,2025-07-01 01:07:00+00:00,25.2,65.65,1009.99
sensor_5,2025-07-01 01:08:00+00:00,22.24,61.39,1007.19
sensor_5,2025-07-01 01:09:00+00:00,23.83,40.35,1012.49
sensor_5,2025-07-01 01:10:00+00:00,20,66.59,1010.25
sensor_5,2025-07-01 01:11:00+00:00,20.01,53.26,1007.13
sensor_5,2025-07-01 01:12:00+00:00,20.6,45.53,1007.7
sensor_5,2025-07-01 01:13:00+00:00,22.33,50.66,1008.15
sensor_5,2025-07-01 01:14:00+00:00,22.44,57.96,1009.46
sensor_5,2025-07-01 01:15:00+00:00,23.52,64.38,1003.31
sensor_5,2025-07-01 01:16:00+00:00,19.1,56.68,1015.44
sensor_5,2025-07-01 01:17:00+00:00,23.25,46.13,1013.14
sensor_5,2025-07-01 01:18:00+00:00,23.58,49.63,1018.6
sensor_5,2025-07-01 01:19:00+00:00,24.86,64.4,1018.67
sensor_5,2025-07-01 01:20:00+00:00,23.67,61.9,1018.67
sensor_5,2025-07-01 01:21:00+00:00,21.89,61.15,1009.88
sensor_5,2025-07-01 01:22:00+00:00,23.34,40.17,1005.57
sensor_5,2025-07-01 01:23:00+00:00,24.84,45.21,1014.03
sensor_5,2025-07-01 01:24:00+00:00,22.73,63.31,1009.73
sensor_5,2025-07-01 01:25:00+00:00,19.02,68.46,1011.09
sensor_5,2025-07-01 01:26:00+00:00,25.67,65.66,1010.5
sensor_5,2025-07-01 01:27:00+00:00,21.3,49.14,1014.64
sensor_5,2025-07-01 01:28:00+00:00,17.74,57.8,1004.6
sensor_5,2025-07-01 01:29:00+00:00,20.33,48.73,1012.41
sensor_5,2025-07-01 01:30:00+00:00,21.33,53.71,1008.5
sensor_5,2025-07-01 01:31:00+00:00,24.97,44.76,1015.76
sensor_5,2025-07-01 01:32:00+00:00,23.94,55.6,1017.28
sensor_5,2025-07-01 01:33:00+00:00,23.05,64.7,1009.85
sensor_5,2025-07-01 01:34:00+00:00,23.87,42.08,1011.5
sensor_5,2025-07-01 01:35:00+00:00,23.75,67.97,1019.59
sensor_5,2025-07-01 01:36:00+00:00,21.39,64.75,1007.49
sensor_5,2025-07-01 01:37:00+00:00,24.89,49.69,1017.59
sensor_5,2025-07-01 01:38:00+00:00,20.89,51.29,1011.13
sensor_5,2025-07-01 01:39:00+00:00,21.15,68.97,1024.59
sensor_5,2025-07-01 01:40:00+00:00,22.33,64.62,1016.78
sensor_5,2025-07-01 01:41:00+00:00,25.17,61.28,1008.78
sensor_5,2025-07-01 01:42:00+00:00,20.04,41.55,1018.39
sensor_5,2025-07-01 01:43:00+00:00,20.67,53.41,1015.61
sensor_5,2025-07-01 01:44:00+00:00,24.48,55.97,1018.15
sensor_5,2025-07-01 01:45:00+00:00,22.23,58.88,1009.73
sensor_5,2025-07-01 01:46:00+00:00,22.31,65.32,1013.76
sensor_5,2025-07-01 01:47:00+00:00,24.72,57.77,1015.39
sensor_5,2025-07-01 01:48:00+00:00,21.61,47.15,1013.22
sensor_5,2025-07-01 01:49:00+00:00,26.93,43.11,1007.21
sensor_5,2025-07-01 01:50:00+00:00,21.34,42.38,1004.92
sensor_5,2025-07-01 01:51:00+00:00,23.23,47.71,1013.28
sensor_5,2025-07-01 01:52:00+00:00,22.18,61.54,1014.21
sensor_5,2025-07-01 01:53:00+00:00,19.22,41.25,1016.84
sensor_5,2025-07-01 01:54:00+00:00,21.69,66.29,1014.1
sensor_5,2025-07-01 01:55:00+00:00,23.21,47.49,1014.04
sensor_5,2025-07-01 01:56:00+00:00,23.88,57.09,1011.81
sensor_5,2025-07-01 01:57:00+00:00,22.77,58.91,1012.72
sensor_5,2025-07-01 01:58:00+00:00,23.9,49.65,1007.24
sensor_5,2025-07-01 01:59:00+00:00,21.57,59.61,1017.38
sensor_5,2025-07-01 02:00:00+00:00,24.17,59.4,1008.99
sensor_6,2025-07-01 01:00:00+00:00,20.02,68.47,1017.6
sensor_6,2025-07-01 01:01:00+00:00,21.19,54.06,1012.11
sensor_6,2025-07-01 01:02:00+00:00,20.36,42.16,1017.55
sensor_6,2025-07-01 01:03:00+00:00,22.46,54.18,1015.89
sensor_6,2025-07-01 01:04:00+00:00,24,55.45,1022.92
sensor_6,2025-07-01 01:05:00+00:00,25.33,43.35,1023.35
sensor_6,2025-07-01 01:06:00+00:00,18.18,45.15,1008.35
sensor_6,2025-07-01 01:07:00+00:00,20.59,63.71,1011.58
sensor_6,2025-07-01 01:08:00+00:00,23.05,44.56,1016.35
sensor_6,2025-07-01 01:09:00+00:00,22.56,40.45,1011.45
sensor_6,2025-07-01 01:10:00+00:00,21.62,65.92,1010.85
sensor_6,2025-07-01 01:11:00+00:00,23.52,60.82,1005.06
sensor_6,2025-07-01 01:12:00+00:00,22.04,58.18,1013.5
sensor_6,2025-07-01 01:13:00+00:00,24.06,67.24,1003.42
sensor_6,2025-07-01 01:14:00+00:00,20.9,63.77,1009.02
sensor_6,2025-07-01 01:15:00+00:00,20.08,54.74,1015.64
sensor_6,2025-07-01 01:16:00+00:00,22.41,55.98,1019.6
sensor_6,2025-07-01 01:17:00+00:00,23.62,61.73,1010.68
sensor_6,2025-07-01 01:18:00+00:00,18.7,58.38,1010.16
sensor_6,2025-07-01 01:19:00+00:00,22.6,66.96,1018.21
sensor_6,2025-07-01 01:20:00+00:00,24.18,63.27,1018.01
sensor_6,2025-07-01 01:21:00+00:00,19.81,62.43,1017.41
sensor_6,2025-07-01 01:22:00+00:00,22.16,52.88,1010.11
sensor_6,2025-07-01 01:23:00+00:00,23.09,64.74,1022.31
sensor_6,2025-07-01 01:24:00+00:00,22.44,60.07,1012.93
sensor_6,2025-07-01 01:25:00+00:00,22.96,56.41,1014.88
sensor_6,2025-07-01 01:26:00+00:00,22.22,45.06,1004.65
sensor_6,2025-07-01 01:27:00+00:00,21.09,54.27,1016.41
sensor_6,2025-07-01 01:28:00+00:00,19.99,60.6,1003.11
sensor_6,2025-07-01 01:29:00+00:00,19.1,57.34,1016.22
sensor_6,2025-07-01 01:30:00+00:00,18.77,69.21,1013.74
sensor_6,2025-07-01 01:31:00+00:00,19.57,68.99,1012.87
sensor_6,2025-07-01 01:32:00+00:00,22.27,50.2,1014.93
sensor_6,2025-07-01 01:33:00+00:00,18.33,45.2,1009.74
sensor_6,2025-07-01 01:34:00+00:00,20.32,48.65,1019.95
sensor_6,2025-07-01 01:35:00+00:00,23.03,54.83,1007.85
sensor_6,2025-07-01 01:36:00+00:00,21.79,57.31,1004.45
sensor_6,2025-07-01 01:37:00+00:00,20.56,48.8,1008.65
sensor_6,2025-07-01 01:38:00+00:00,22.33,50.19,1012.05
sensor_6,2025-07-01 01:39:00+00:00,24,50.28,1008.35
sensor_6,2025-07-01 01:40:00+00:00,23.36,61.31,1021.38
sensor_6,2025-07-01 01:41:00+00:00,21.41,59.27,1007.65
sensor_6,2025-07-01 01:42:00+00:00,25.22,43.56,1013.74
sensor_6,2025-07-01 01:43:00+00:00,22.43,40.14,1015.65
sensor_6,2025-07-01 01:44:00+00:00,21.71,43.61,1017.12
sensor_6,2025-07-01 01:45:00+00:00,17.37,63.66,1018.34
sensor_6,2025-07-01 01:46:00+00:00,22.72,61.83,1014.3
sensor_6,2025-07-01 01:47:00+00:00,20.53,43.25,1015.88
sensor_6,2025-07-01 01:48:00+00:00,16.95,64.37,1016.74
sensor_6,2025-07-01 01:49:00+00:00,22.75,45.96,1013.03
sensor_6,2025-07-01 01:50:00+00:00,23.28,67.21,1014.03
sensor_6,2025-07-01 01:51:00+00:00,21.82,64.4,1007.4
sensor_6,2025-07-01 01:52:00+00:00,21.95,57.56,1010.2
sensor_6,2025-07-01 01:53:00+00:00,20.58,58.14,1011.62
sensor_6,2025-07-01 01:54:00+00:00,21.43,61.04,1014.52
sensor_6,2025-07-01 01:55:00+00:00,17.56,45.56,1004.43
sensor_6,2025-07-01 01:56:00+00:00,22.37,62,1013.35
sensor_6,2025-07-01 01:57:00+00:00,19.28,57.38,1012.4
sensor_6,2025-07-01 01:58:00+00:00,20.11,64.26,1011.65
sensor_6,2025-07-01 01:59:00+00:00,21.28,68.74,1004.97
sensor_6,2025-07-01 02:00:00+00:00,23.29,53.79,1014.98
sensor_7,2025-07-01 01:00:00+00:00,23.93,42.55,1011.73
sensor_7,2025-07-01 01:01:00+00:00,19.85,58.25,1011.24
sensor_7,2025-07-01 01:02:00+00:00,20.97,48.73,1020.43
sensor_7,2025-07-01 01:03:00+00:00,18.47,45.58,1003.02
sensor_7,2025-07-01 01:04:00+00:00,19.17,55.55,1010.1
sensor_7,2025-07-01 01:05:00+00:00,24.93,64.78,1014.15
sensor_7,2025-07-01 01:06:00+00:00,22.56,47.49,1008.03
sensor_7,2025-07-01 01:07:00+00:00,21.16,58.04,1015.67
sensor_7,2025-07-01 01:08:00+00:00,21.56,68.18,1007.85
sensor_7,2025-07-01 01:09:00+00:00,23.72,45.67,1012.5
sensor_7,2025-07-01 01:10:00+00:00,20.91,61.27,1024.56
sensor_7,2025-07-01 01:11:00+00:00,21.45,44.77,1007.46
sensor_7,2025-07-01 01:12:00+00:00,24.93,44.27,1007
sensor_7,2025-07-01 01:13:00+00:00,22.51,45.06,1017.08
sensor_7,2025-07-01 01:14:00+00:00,19.85,59.65,1014.29
sensor_7,2025-07-01 01:15:00+00:00,20.44,61.16,1011.85
sensor_7,2025-07-01 01:16:00+00:00,21.17,57.43,1007.46
sensor_7,2025-07-01 01:17:00+00:00,19.87,53.15,1015.09
sensor_7,2025-07-01 01:18:00+00:00,22.19,61.15,1013.67
sensor_7,2025-07-01 01:19:00+00:00,21.99,60.9,1014.65
sensor_7,2025-07-01 01:20:00+00:00,21.1,48,1011.96
